Generación,Mejor Fitness
39901,0.6334
40001,0.6339
40101,0.6341
40201,0.6344
40301,0.6344
40401,0.6346
40501,0.6348
40601,0.6351
40701,0.6354
40801,0.6354
40901,0.6355
41001,0.6355
41101,0.6357
41201,0.6359
41301,0.6361
41401,0.6364
41501,0.6367
41601,0.6368
41701,0.6371
41801,0.6372
41901,0.6373
42001,0.6374
42101,0.6375
42201,0.6376
42301,0.6379
42401,0.6379
42501,0.6380
42601,0.6381
42701,0.6381
42801,0.6383
42901,0.6386
43001,0.6388
43101,0.6390
43201,0.6396
43301,0.6398
43401,0.6400
43501,0.6400
43601,0.6404
43701,0.6406
43801,0.6406
43901,0.6407
44001,0.6410
44101,0.6410
44201,0.6412
44301,0.6413
44401,0.6416
44501,0.6419
44601,0.6421
44701,0.6424
44801,0.6427
44901,0.6429
45001,0.6431
45101,0.6432
45201,0.6435
45301,0.6435
45401,0.6436
45501,0.6437
45601,0.6438
45701,0.6438
45801,0.6441
45901,0.6444
46001,0.6446
46101,0.6448
46201,0.6450
46301,0.6453
46401,0.6454
46501,0.6455
46601,0.6456
46701,0.6458
46801,0.6459
46901,0.6463
47001,0.6465
47101,0.6466
47201,0.6468
47301,0.6468
47401,0.6472
47501,0.6473
47601,0.6476
47701,0.6477
47801,0.6479
47901,0.6481
48001,0.6483
48101,0.6484
48201,0.6485
48301,0.6487
48401,0.6488
48501,0.6489
48601,0.6490
48701,0.6493
48801,0.6494
48901,0.6497
49001,0.6499
49101,0.6500
49201,0.6501
49301,0.6505
49401,0.6506
49501,0.6506
49601,0.6506
49701,0.6508
49801,0.6509
49901,0.6511
