Generación,Mejor Fitness
39901,0.6301
40001,0.6301
40101,0.6304
40201,0.6306
40301,0.6309
40401,0.6312
40501,0.6314
40601,0.6315
40701,0.6317
40801,0.6318
40901,0.6322
41001,0.6322
41101,0.6325
41201,0.6325
41301,0.6329
41401,0.6332
41501,0.6335
41601,0.6336
41701,0.6337
41801,0.6341
41901,0.6343
42001,0.6345
42101,0.6347
42201,0.6353
42301,0.6354
42401,0.6357
42501,0.6360
42601,0.6363
42701,0.6364
42801,0.6364
42901,0.6367
43001,0.6369
43101,0.6371
43201,0.6372
43301,0.6374
43401,0.6377
43501,0.6379
43601,0.6382
43701,0.6384
43801,0.6387
43901,0.6387
44001,0.6389
44101,0.6394
44201,0.6397
44301,0.6399
44401,0.6402
44501,0.6405
44601,0.6406
44701,0.6408
44801,0.6409
44901,0.6412
45001,0.6415
45101,0.6418
45201,0.6421
45301,0.6422
45401,0.6424
45501,0.6426
45601,0.6427
45701,0.6429
45801,0.6431
45901,0.6432
46001,0.6436
46101,0.6437
46201,0.6439
46301,0.6440
46401,0.6443
46501,0.6444
46601,0.6446
46701,0.6451
46801,0.6452
46901,0.6454
47001,0.6458
47101,0.6460
47201,0.6461
47301,0.6464
47401,0.6467
47501,0.6468
47601,0.6470
47701,0.6473
47801,0.6477
47901,0.6479
48001,0.6482
48101,0.6487
48201,0.6490
48301,0.6493
48401,0.6495
48501,0.6496
48601,0.6499
48701,0.6503
48801,0.6504
48901,0.6508
49001,0.6509
49101,0.6512
49201,0.6513
49301,0.6513
49401,0.6513
49501,0.6514
49601,0.6516
49701,0.6517
49801,0.6518
49901,0.6523
